note_id,customer_id,note_date,note_text
N0000001,C000949,2024-08-22,Customer requested branch appointment.
N0000002,C000602,2025-03-08,Customer reports financial stress and reduced income.
N0000003,C000137,2024-08-21,Customer lost job and asked for installment restructuring.
N0000004,C000190,2024-01-06,Customer lost job and asked for installment restructuring.
N0000005,C000796,2025-10-28,Customer lost job and asked for installment restructuring.
N0000006,C000281,2025-10-09,Customer requested branch appointment.
N0000007,C000747,2024-04-04,No issue. Customer asked for account balance information.
N0000008,C000153,2024-05-11,Customer asked for early loan repayment options.
N0000009,C000745,2025-02-15,Customer asked for early loan repayment options.
N0000010,C000054,2024-04-29,Potential fraud alert on ecommerce transaction.
N0000011,C000944,2025-03-19,Customer lost job and asked for installment restructuring.
N0000012,C000065,2025-05-15,Customer asked for new credit limit review.
N0000013,C000414,2025-02-18,No issue. Customer asked for account balance information.
N0000014,C000252,2024-01-20,Insurance claim follow-up after car accident.
N0000015,C000306,2025-12-09,Complaint about credit card fees and late charge.
N0000016,C000699,2025-02-26,No issue. Customer asked for account balance information.
N0000017,C000207,2024-11-25,Customer lost job and asked for installment restructuring.
N0000018,C000393,2024-08-31,Customer requested settlement after missed payment.
N0000019,C000972,2024-06-22,Customer asked for early loan repayment options.
N0000020,C000870,2024-05-08,Complaint about credit card fees and late charge.
N0000021,C000204,2025-05-15,Complaint about credit card fees and late charge.
N0000022,C000431,2025-07-13,Customer requested branch appointment.
N0000023,C000266,2024-07-26,Insurance claim follow-up after car accident.
N0000024,C000574,2025-02-06,No issue. Customer asked for account balance information.
N0000025,C000629,2025-06-10,Complaint about credit card fees and late charge.
N0000026,C000720,2025-03-31,Customer requested branch appointment.
N0000027,C000686,2025-11-30,Insurance claim follow-up after car accident.
N0000028,C000322,2024-05-30,Customer requested branch appointment.
N0000029,C000762,2024-01-26,Customer asked for new credit limit review.
N0000030,C000665,2024-06-11,Customer requested branch appointment.
N0000031,C000604,2025-08-22,Customer asked for early loan repayment options.
N0000032,C000083,2024-04-25,Customer reports financial stress and reduced income.
N0000033,C000902,2025-09-15,Potential fraud alert on ecommerce transaction.
N0000034,C000579,2024-09-18,Complaint about credit card fees and late charge.
N0000035,C000642,2025-05-15,Customer requested branch appointment.
N0000036,C000427,2025-11-17,Customer reports financial stress and reduced income.
N0000037,C000824,2024-08-24,Insurance claim follow-up after car accident.
N0000038,C000808,2025-09-10,Complaint about credit card fees and late charge.
N0000039,C000682,2025-05-22,Potential fraud alert on ecommerce transaction.
N0000040,C000113,2024-09-21,Customer reports financial stress and reduced income.
N0000041,C000684,2025-04-05,Customer reports financial stress and reduced income.
N0000042,C000782,2025-06-19,Complaint about credit card fees and late charge.
N0000043,C000678,2024-05-27,Customer reports financial stress and reduced income.
N0000044,C000394,2025-04-07,Complaint about credit card fees and late charge.
N0000045,C000907,2024-10-22,Customer requested branch appointment.
N0000046,C000421,2025-04-01,No issue. Customer asked for account balance information.
N0000047,C000637,2025-08-29,Potential fraud alert on ecommerce transaction.
N0000048,C000161,2025-04-13,Customer reports financial stress and reduced income.
N0000049,C000704,2025-01-03,Customer requested branch appointment.
N0000050,C000096,2024-08-03,Customer requested settlement after missed payment.
N0000051,C000224,2025-04-10,Customer asked for new credit limit review.
N0000052,C000710,2024-12-06,Customer requested settlement after missed payment.
N0000053,C000121,2025-03-10,Insurance claim follow-up after car accident.
N0000054,C000900,2024-06-06,Customer asked for new credit limit review.
N0000055,C000359,2025-03-08,No issue. Customer asked for account balance information.
N0000056,C000563,2025-12-02,Complaint about credit card fees and late charge.
N0000057,C000315,2024-08-27,Customer asked for early loan repayment options.
N0000058,C000210,2024-07-15,Customer asked for new credit limit review.
N0000059,C000428,2024-10-07,Customer requested settlement after missed payment.
N0000060,C000879,2025-01-21,Insurance claim follow-up after car accident.
N0000061,C000192,2024-12-19,Complaint about credit card fees and late charge.
N0000062,C000627,2025-04-18,Customer reports financial stress and reduced income.
N0000063,C000736,2024-05-10,Complaint about credit card fees and late charge.
N0000064,C000161,2024-11-13,Customer asked for early loan repayment options.
N0000065,C000375,2025-10-10,Customer lost job and asked for installment restructuring.
N0000066,C000082,2024-01-21,Customer asked for new credit limit review.
N0000067,C000799,2025-04-15,No issue. Customer asked for account balance information.
N0000068,C000025,2024-05-16,Customer asked for new credit limit review.
N0000069,C000601,2025-09-07,Customer reports financial stress and reduced income.
N0000070,C000106,2025-10-15,Customer asked for early loan repayment options.
N0000071,C000358,2025-06-20,Customer reports financial stress and reduced income.
N0000072,C000698,2025-06-21,No issue. Customer asked for account balance information.
N0000073,C000324,2025-04-30,Complaint about credit card fees and late charge.
N0000074,C000401,2025-10-11,Customer lost job and asked for installment restructuring.
N0000075,C000212,2024-10-05,Customer asked for new credit limit review.
N0000076,C000525,2024-04-01,Customer asked for early loan repayment options.
N0000077,C000858,2024-12-16,Complaint about credit card fees and late charge.
N0000078,C000055,2024-09-23,Customer asked for early loan repayment options.
N0000079,C000785,2024-09-01,Potential fraud alert on ecommerce transaction.
N0000080,C000844,2025-11-05,Customer requested settlement after missed payment.
